item,type,driver,column,row,x_min,x_max,y_min,y_max,source_level,note,module,part_group,x_center,y_center,z_center,diameter,radius,cut_axis,feature_class,assembly_label,component_name,component_path,parent_component,parent_transform_found,fixed,matrix_status,local_x_mm,local_y_mm,local_z_mm,raw_transform_x_center,raw_transform_y_center,raw_transform_z_center,bbox_center_x,bbox_center_y,bbox_center_z,z_min,z_max,x_len,y_len,z_len,geometry_source,step_source,width_variant_adjustment,door_height,template_name,template_source,template_source_length,template_scale_y,hardware_type,y_relation,y_offset,template_unit,template_height,door_width,flat_width,flat_height,sheet_thickness,return_depth,lock_hole_center_x,lock_hole_center_y,lock_mount_hole_policy,hinge_axis_x,bend_id,bend_radius,flat_extra_mm,formed_length_mm,bend_angle_deg,line_axis
REF_plastic_bushing_top_R05,plastic_bushing_reference,door_local_coordinate,R,5,463.0,471.0,1329.643,1337.643,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side top bushing reference; series audit verifies y = door_center_y + door_height/2 + 1.5,,,467.0,1333.643,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_top_R05,hinge_panel_hole_reference,door_local_coordinate,R,5,461.9,472.1,1332.643,1342.843,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y + door_height/2 + 5.6,,,467.0,1337.743,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_plastic_bushing_bottom_R05,plastic_bushing_reference,door_local_coordinate,R,5,463.0,471.0,1072.214,1080.214,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side bottom bushing reference; series audit verifies y = door_center_y - door_height/2 - 1.5,,,467.0,1076.214,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_bottom_R05,hinge_panel_hole_reference,door_local_coordinate,R,5,461.9,472.1,1067.014,1077.214,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y - door_height/2 - 5.6,,,467.0,1072.114,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_pin_bottom_R05,hinge_pin_reference,door_local_coordinate,R,5,464.0,470.0,1061.014,1075.014,ordinary_door_series_hardware_relation_gold_verified,door-local lower hinge pin reference; series audit verifies y = door_center_y - door_height/2 - 9.7,,,467.0,1068.014,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_top_R05,circlip_reference,door_local_coordinate,R,5,462.0,472.0,1302.443,1303.243,ordinary_door_series_hardware_relation_gold_verified,door-local top circlip reference; series audit verifies y = door_center_y + door_height/2 - 29.3,,,467.0,1302.843,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_bottom_R05,circlip_reference,door_local_coordinate,R,5,462.0,472.0,1106.914,1107.714,ordinary_door_series_hardware_relation_gold_verified,door-local bottom circlip reference; series audit verifies y = door_center_y - door_height/2 + 29.6,,,467.0,1107.314,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
SW_rebuilt_sheetmetal_rib_rib_length_rule_W88p4_L243p929_R06,door_rib,door_local_coordinate,R,6,,,,,gold_rib_extrusion_length_rule_verified,"rib length = door_height - 10.5; exact STEP when available, otherwise scaled from nearest rib template",,,258.5,1466.357,,,,,,,,,,,,,,,,,,,,,,-14.8,-0.8,88.4,243.929,14.0,,,,254.429,rib_length_rule_W88p4_L243p929,D:\机械结构工程师智能体\outputs\freecad\locker_16029_rib_length_rule_W88p4_L243p929_v1.step,243.929,1.0,,,,,,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_01_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1578.771,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,top_from_half,-14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_02_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1353.943,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,bottom_from_half,14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_u_lock_hook_pad_03_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,55.0,1466.357,-6.05,,,,,,,,,,,,,,,,,,,,,,,24.8,70.0,10.5,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,u_lock_hook_pad,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_04_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1591.571,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,top_from_half,-2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_05_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1341.143,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,bottom_from_half,2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_door_hinge_pin_06_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1329.443,-7.0,,,,,,,,,,,,,,,,,,,,,,,6.0,87.0,6.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,door_hinge_pin,bottom_from_half,-9.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_07_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1563.871,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,top_from_half,-29.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_08_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1368.343,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,bottom_from_half,29.2,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_electric_lock_hook_09_R06,door_hardware_step_repositioned,door_local_coordinate,R,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,55.0,1466.357,-25.944,,,,,,,,,,,,,,,,,,,,,,,20.55,34.04,29.288,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,electric_lock_hook,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_exact_sheetmetal_door_panel_gold_seam_signature_W437_H254429_step_valid_p4_golds131164_R06,door_module,door_local_coordinate,R,6,,,1339.143,1593.571,freecad_gold_seam_production_signature_candidate,"door drives panel, weldment, rib, lock, hinge and local hardware references",,,258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,gold_seam_signature_W437_H254429_step_valid_p4_golds131164,C:\sw16029_standard_ascii\door_panel_W437_H254429_gold_seam_strict_step_valid_p4_golds131164.step,,1.0,,,,,254.429,437.0,475.4,290.829,0.8,15.0,55.0,1466.357,suppressed_for_non_2_12_panel_dxf_and_step_signature,467.0,,,,,,
META_left_vertical_bend_R06,door_bend_semantic_feature,door_local_coordinate,R,6,39.4,40.6,1339.143,1593.571,ordinary_door_bend_semantic_gold_verified,left side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,40.0,1466.357,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,left_vertical_bend,1.0,19.2,254.429,90,Y
META_right_vertical_bend_R06,door_bend_semantic_feature,door_local_coordinate,R,6,476.4,477.6,1339.143,1593.571,ordinary_door_bend_semantic_gold_verified,right side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,477.0,1466.357,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,right_vertical_bend,1.0,19.2,254.429,90,Y
META_bottom_horizontal_bend_R06,door_bend_semantic_feature,door_local_coordinate,R,6,40.0,477.0,1338.543,1339.743,ordinary_door_bend_semantic_gold_verified,bottom return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,258.5,1339.143,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,bottom_horizontal_bend,1.0,18.2,437.0,90,X
META_top_horizontal_bend_R06,door_bend_semantic_feature,door_local_coordinate,R,6,40.0,477.0,1592.971,1594.171,ordinary_door_bend_semantic_gold_verified,top return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,258.5,1593.571,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,top_horizontal_bend,1.0,18.2,437.0,90,X
REF_lock_hole_center_R06,lock_hole_reference,door_local_coordinate,R,6,53.0,57.0,1464.357,1468.357,gold_standard_sw_transform_step_verified,ordinary 1/12..6/12 lock center basis; SW v002 and exact STEP verify lock-side hardware local_y=0 = door center,,,55.0,1466.357,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_side_arc_relief_R06,side_arc_relief_cut,door_local_coordinate,R,6,38.0,42.0,1464.357,1468.357,gold_dxf_flat_pattern_semantic,R2 side relief arc from ordinary door panel DXF; visible geometry cut in folded panel,,,40.0,1466.357,0.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_electric_lock_hook_R06,lock_hook_reference,door_local_coordinate,R,6,51.0,59.0,1460.357,1472.357,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-11.3; verified from SolidWorks v002 transform and exact STEP centered candidate,,,55.0,1466.357,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_u_lock_hook_pad_R06,lock_pad_reference,door_local_coordinate,R,6,49.0,61.0,1456.357,1476.357,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-10.5; verified from SolidWorks v002 transform and exact STEP centered candidate,,,55.0,1466.357,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_plastic_bushing_top_R06,plastic_bushing_reference,door_local_coordinate,R,6,463.0,471.0,1591.071,1599.071,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side top bushing reference; series audit verifies y = door_center_y + door_height/2 + 1.5,,,467.0,1595.071,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_top_R06,hinge_panel_hole_reference,door_local_coordinate,R,6,461.9,472.1,1594.071,1604.271,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y + door_height/2 + 5.6,,,467.0,1599.171,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_plastic_bushing_bottom_R06,plastic_bushing_reference,door_local_coordinate,R,6,463.0,471.0,1333.643,1341.643,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side bottom bushing reference; series audit verifies y = door_center_y - door_height/2 - 1.5,,,467.0,1337.643,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_bottom_R06,hinge_panel_hole_reference,door_local_coordinate,R,6,461.9,472.1,1328.443,1338.643,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y - door_height/2 - 5.6,,,467.0,1333.543,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_pin_bottom_R06,hinge_pin_reference,door_local_coordinate,R,6,464.0,470.0,1322.443,1336.443,ordinary_door_series_hardware_relation_gold_verified,door-local lower hinge pin reference; series audit verifies y = door_center_y - door_height/2 - 9.7,,,467.0,1329.443,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_top_R06,circlip_reference,door_local_coordinate,R,6,462.0,472.0,1563.871,1564.671,ordinary_door_series_hardware_relation_gold_verified,door-local top circlip reference; series audit verifies y = door_center_y + door_height/2 - 29.3,,,467.0,1564.271,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_bottom_R06,circlip_reference,door_local_coordinate,R,6,462.0,472.0,1368.343,1369.143,ordinary_door_series_hardware_relation_gold_verified,door-local bottom circlip reference; series audit verifies y = door_center_y - door_height/2 + 29.6,,,467.0,1368.743,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
SW_rebuilt_sheetmetal_rib_rib_length_rule_W88p4_L243p929_R07,door_rib,door_local_coordinate,R,7,,,,,gold_rib_extrusion_length_rule_verified,"rib length = door_height - 10.5; exact STEP when available, otherwise scaled from nearest rib template",,,258.5,1727.786,,,,,,,,,,,,,,,,,,,,,,-14.8,-0.8,88.4,243.929,14.0,,,,254.429,rib_length_rule_W88p4_L243p929,D:\机械结构工程师智能体\outputs\freecad\locker_16029_rib_length_rule_W88p4_L243p929_v1.step,243.929,1.0,,,,,,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_01_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1840.2,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,top_from_half,-14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_02_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1615.371,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,bottom_from_half,14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_u_lock_hook_pad_03_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,55.0,1727.786,-6.05,,,,,,,,,,,,,,,,,,,,,,,24.8,70.0,10.5,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,u_lock_hook_pad,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_04_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1853.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,top_from_half,-2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_05_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1602.571,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,bottom_from_half,2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_door_hinge_pin_06_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1590.871,-7.0,,,,,,,,,,,,,,,,,,,,,,,6.0,87.0,6.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,door_hinge_pin,bottom_from_half,-9.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_07_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1825.3,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,top_from_half,-29.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_08_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,467.0,1629.771,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,bottom_from_half,29.2,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_electric_lock_hook_09_R07,door_hardware_step_repositioned,door_local_coordinate,R,7,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,55.0,1727.786,-25.944,,,,,,,,,,,,,,,,,,,,,,,20.55,34.04,29.288,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,electric_lock_hook,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_exact_sheetmetal_door_panel_gold_seam_signature_W437_H254429_step_valid_p4_golds131164_R07,door_module,door_local_coordinate,R,7,,,1600.571,1855.0,freecad_gold_seam_production_signature_candidate,"door drives panel, weldment, rib, lock, hinge and local hardware references",,,258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,gold_seam_signature_W437_H254429_step_valid_p4_golds131164,C:\sw16029_standard_ascii\door_panel_W437_H254429_gold_seam_strict_step_valid_p4_golds131164.step,,1.0,,,,,254.429,437.0,475.4,290.829,0.8,15.0,55.0,1727.786,suppressed_for_non_2_12_panel_dxf_and_step_signature,467.0,,,,,,
META_left_vertical_bend_R07,door_bend_semantic_feature,door_local_coordinate,R,7,39.4,40.6,1600.571,1855.0,ordinary_door_bend_semantic_gold_verified,left side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,40.0,1727.786,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,left_vertical_bend,1.0,19.2,254.429,90,Y
META_right_vertical_bend_R07,door_bend_semantic_feature,door_local_coordinate,R,7,476.4,477.6,1600.571,1855.0,ordinary_door_bend_semantic_gold_verified,right side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,477.0,1727.786,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,right_vertical_bend,1.0,19.2,254.429,90,Y
META_bottom_horizontal_bend_R07,door_bend_semantic_feature,door_local_coordinate,R,7,40.0,477.0,1599.971,1601.171,ordinary_door_bend_semantic_gold_verified,bottom return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,258.5,1600.571,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,bottom_horizontal_bend,1.0,18.2,437.0,90,X
META_top_horizontal_bend_R07,door_bend_semantic_feature,door_local_coordinate,R,7,40.0,477.0,1854.4,1855.6,ordinary_door_bend_semantic_gold_verified,top return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,258.5,1855.0,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,top_horizontal_bend,1.0,18.2,437.0,90,X
REF_lock_hole_center_R07,lock_hole_reference,door_local_coordinate,R,7,53.0,57.0,1725.786,1729.786,gold_standard_sw_transform_step_verified,ordinary 1/12..6/12 lock center basis; SW v002 and exact STEP verify lock-side hardware local_y=0 = door center,,,55.0,1727.786,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_side_arc_relief_R07,side_arc_relief_cut,door_local_coordinate,R,7,38.0,42.0,1725.786,1729.786,gold_dxf_flat_pattern_semantic,R2 side relief arc from ordinary door panel DXF; visible geometry cut in folded panel,,,40.0,1727.786,0.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_electric_lock_hook_R07,lock_hook_reference,door_local_coordinate,R,7,51.0,59.0,1721.786,1733.786,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-11.3; verified from SolidWorks v002 transform and exact STEP centered candidate,,,55.0,1727.786,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_u_lock_hook_pad_R07,lock_pad_reference,door_local_coordinate,R,7,49.0,61.0,1717.786,1737.786,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-10.5; verified from SolidWorks v002 transform and exact STEP centered candidate,,,55.0,1727.786,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_plastic_bushing_top_R07,plastic_bushing_reference,door_local_coordinate,R,7,463.0,471.0,1852.5,1860.5,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side top bushing reference; series audit verifies y = door_center_y + door_height/2 + 1.5,,,467.0,1856.5,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_top_R07,hinge_panel_hole_reference,door_local_coordinate,R,7,461.9,472.1,1855.5,1865.7,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y + door_height/2 + 5.6,,,467.0,1860.6,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_plastic_bushing_bottom_R07,plastic_bushing_reference,door_local_coordinate,R,7,463.0,471.0,1595.071,1603.071,ordinary_door_series_hardware_relation_gold_verified,door-local hinge-side bottom bushing reference; series audit verifies y = door_center_y - door_height/2 - 1.5,,,467.0,1599.071,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_panel_hole_bottom_R07,hinge_panel_hole_reference,door_local_coordinate,R,7,461.9,472.1,1589.871,1600.071,gold_dxf_flat_pattern_semantic,hinge-side panel hole r=5.1; y = door_center_y - door_height/2 - 5.6,,,467.0,1594.971,0.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_hinge_pin_bottom_R07,hinge_pin_reference,door_local_coordinate,R,7,464.0,470.0,1583.871,1597.871,ordinary_door_series_hardware_relation_gold_verified,door-local lower hinge pin reference; series audit verifies y = door_center_y - door_height/2 - 9.7,,,467.0,1590.871,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_top_R07,circlip_reference,door_local_coordinate,R,7,462.0,472.0,1825.3,1826.1,ordinary_door_series_hardware_relation_gold_verified,door-local top circlip reference; series audit verifies y = door_center_y + door_height/2 - 29.3,,,467.0,1825.7,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_circlip_bottom_R07,circlip_reference,door_local_coordinate,R,7,462.0,472.0,1629.771,1630.571,ordinary_door_series_hardware_relation_gold_verified,door-local bottom circlip reference; series audit verifies y = door_center_y - door_height/2 + 29.6,,,467.0,1630.171,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
SW_shelf_L_weld_14door_01,shelf_weld,adjacent_door_boundary,L,1,,,288.429,313.429,solidworks_step_repositioned,shelf y_min = lower_door_y_max + 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_shelf_L_weld_14door_02,shelf_weld,adjacent_door_boundary,L,2,,,549.857,574.857,solidworks_step_repositioned,shelf y_min = lower_door_y_max + 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_shelf_L_weld_14door_03,shelf_weld,adjacent_door_boundary,L,3,,,811.286,836.286,solidworks_step_repositioned,shelf y_min = lower_door_y_max + 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_shelf_L_weld_14door_04,shelf_weld,adjacent_door_boundary,L,4,,,1072.714,1097.714,solidworks_step_repositioned,shelf y_min = lower_door_y_max + 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_shelf_L_weld_14door_05,shelf_weld,adjacent_door_boundary,L,5,,,1334.143,1359.143,solidworks_step_repositioned,shelf y_min = lower_door_y_max + 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
